time,open,high,low,close,volume
2021-04-06 20:00:00,124.68098201965434,124.69085070589936,124.67111333340931,124.67111333340931,3436
2021-04-06 19:59:00,124.69085070589936,124.69085070589936,124.69085070589936,124.69085070589936,561
2021-04-06 19:58:00,124.69085070589936,124.69085070589936,124.69085070589936,124.69085070589936,2595
2021-04-06 19:57:00,124.69085070589936,124.71058807838942,124.69085070589936,124.71058807838942,649
2021-04-06 19:56:00,124.64150727467423,124.71058807838942,124.64150727467423,124.71058807838942,5898
2021-04-06 19:55:00,124.61190121593916,124.64150727467423,124.61190121593916,124.61190121593916,2595
2021-04-06 19:54:00,124.5921638434491,124.63163858842921,124.5921638434491,124.62176990218418,2061
2021-04-06 19:53:00,124.58229515720407,124.5921638434491,124.58229515720407,124.5921638434491,539
2021-04-06 19:52:00,124.57242647095906,124.58229515720407,124.57242647095906,124.58229515720407,2374
2021-04-06 19:51:00,124.56255778471403,124.56255778471403,124.56255778471403,124.56255778471403,413
2021-04-06 19:50:00,124.57242647095906,124.57242647095906,124.56255778471403,124.56255778471403,2771
2021-04-06 19:49:00,124.5921638434491,124.5921638434491,124.57242647095906,124.57242647095906,547
2021-04-06 19:48:00,124.5921638434491,124.5921638434491,124.5921638434491,124.5921638434491,1176
2021-04-06 19:47:00,124.56255778471403,124.5921638434491,124.56255778471403,124.56255778471403,1658
2021-04-06 19:46:00,124.5921638434491,124.5921638434491,124.56255778471403,124.57242647095906,1534
2021-04-06 19:45:00,124.5921638434491,124.5921638434491,124.5921638434491,124.5921638434491,659
2021-04-06 19:44:00,124.62176990218418,124.62176990218418,124.61190121593916,124.61190121593916,306
2021-04-06 19:43:00,124.62176990218418,124.62176990218418,124.60203252969414,124.62176990218418,529
2021-04-06 19:42:00,124.61190121593916,124.61190121593916,124.61190121593916,124.61190121593916,760
2021-04-06 19:41:00,124.60203252969414,124.60203252969414,124.60203252969414,124.60203252969414,287
2021-04-06 19:39:00,124.65137596091927,124.65137596091927,124.60203252969414,124.62176990218418,2416
2021-04-06 19:38:00,124.63163858842921,124.63163858842921,124.63163858842921,124.63163858842921,310
2021-04-06 19:37:00,124.61190121593916,124.61190121593916,124.61190121593916,124.61190121593916,275
2021-04-06 19:36:00,124.60203252969414,124.63163858842921,124.60203252969414,124.63163858842921,838
2021-04-06 19:35:00,124.5921638434491,124.60203252969414,124.5921638434491,124.60203252969414,638
2021-04-06 19:34:00,124.62176990218418,124.64150727467423,124.5921638434491,124.5921638434491,4437
2021-04-06 19:33:00,124.66124464716428,124.66124464716428,124.64150727467423,124.64150727467423,538
2021-04-06 19:32:00,124.66124464716428,124.70071939214439,124.66124464716428,124.70071939214439,848
2021-04-06 19:31:00,124.61190121593916,124.69085070589936,124.61190121593916,124.66124464716428,2104
2021-04-06 19:30:00,124.64150727467423,124.64150727467423,124.62176990218418,124.64150727467423,2308
2021-04-06 19:29:00,124.62176990218418,124.62176990218418,124.62176990218418,124.62176990218418,379
2021-04-06 19:28:00,124.60203252969414,124.60203252969414,124.60203252969414,124.60203252969414,717
2021-04-06 19:26:00,124.62176990218418,124.62176990218418,124.62176990218418,124.62176990218418,204
2021-04-06 19:25:00,124.60203252969414,124.60203252969414,124.60203252969414,124.60203252969414,200
2021-04-06 19:24:00,124.61190121593916,124.61190121593916,124.61190121593916,124.61190121593916,503
2021-04-06 19:23:00,124.62176990218418,124.62176990218418,124.62176990218418,124.62176990218418,565
